ticker,caucion_a_un_dia_ultimo_trade_tasa,caucion_a_un_dia_ultimo_trade_monto,COLOCAR_TASA_ABRIENDO_PLAZO_CERCANO_TASA,COLOCAR_TASA_ABRIENDO_PLAZO_LEJANO_TASA,TOMAR_TASA_ABRIENDO_PLAZO_CERCANO_TASA,TOMAR_TASA_ABRIENDO_PLAZO_LEJANO_TASA,time
GD30,67.24,3189.18,0.33418078725639677,0.15997796071133108,0.253781850945482,0.35343594977569226,2023-04-19 15:08:04.117202
GD30,67.25,7808418.15,0.3258814599396759,0.16825848013474254,0.253781850945482,0.34513574841616657,2023-04-19 15:08:14.143017
GD30,67.24,246292.84,0.31756822292813514,0.2924753271557906,0.3117339862959906,0.40309049624851545,2023-04-19 15:08:24.470366
GD30,67.24,493000.0,0.3507817025682525,0.26768330445379074,0.40309049624851545,0.370038613411231,2023-04-19 15:08:34.584962
GD30,67.24,287741.0,0.34270215368951584,0.4087205543937067,0.5027652049658216,0.469739032548675,2023-04-19 15:08:44.607287
GD30,67.25,7616642.25,0.31787642818722206,0.31759755049427685,0.4115953491118868,0.3785951756565764,2023-04-19 15:08:54.784484
GD30,67.24,100000.0,0.16035381913615032,0.292881253920132,0.3121512517088304,0.33715245619644174,2023-04-19 15:09:04.829824
GD30,67.24,30790.0,0.1603387520148153,0.24311006906816146,0.28727281840201624,0.3205399582448004,2023-04-19 15:09:14.843054
GD30,67.24,3006.86,0.3594146169603507,0.24308749710896083,0.3038491558300044,0.40356027725222066,2023-04-19 15:09:24.911779
GD30,67.25,188729.64,0.38427573777243873,0.40065787025274135,0.41993998443383584,0.41183525293666756,2023-04-19 15:09:35.368396
GD30,67.25,62240.0,0.43383151939281883,0.367301007166671,0.4613243613958512,0.4530971766184777,2023-04-19 15:09:45.395965
GD30,67.25,7360.71,0.43383151939281883,0.367301007166671,0.4613243613958512,0.4530971766184777,2023-04-19 15:09:55.682792
GD30,67.25,21052.72,0.3012107081417953,0.4420593398183609,0.46134506393821606,0.444807878572297,2023-04-19 15:10:05.811075
GD30,67.26,151000.0,0.3094852035298945,0.4420593398183609,0.46134506393821606,0.4364990036573063,2023-04-19 15:10:16.262258
GD30,67.25,905662.05,0.33439678452517163,0.45036771255734465,0.4696546899289067,0.4614278929151133,2023-04-19 15:10:26.284460
GD30,67.25,1557271.56,0.32612229313877306,0.43381156724285275,0.4697179440203586,0.469739032548675,2023-04-19 15:10:36.300260
GD30,67.25,3017.55,0.32612229313877306,0.43381156724285275,0.4697179440203586,0.469739032548675,2023-04-19 15:10:46.672947
GD30,67.26,3173564.0,0.4504505365646866,0.5332237256450045,0.5442060485357919,0.4697179440203586,2023-04-19 15:10:56.675353
GD30,67.26,178100.0,0.3258814599396759,0.25932170870519855,0.2785753713254513,0.34513574841616657,2023-04-19 15:11:06.688185
GD30,67.26,30107.03,0.21795736694747325,0.2510351831233393,0.2702875969819707,0.23719653962862353,2023-04-19 15:11:18.796419
GD30,67.27,483223011.6,0.40041822038457686,0.15990299338985658,0.25366929121348636,0.46109675747088685,2023-04-19 15:11:28.809059
GD30,67.26,37818.78,0.39211664003684754,0.16817975731178048,0.25366929121348636,0.45279242301383305,2023-04-19 15:11:38.873933
GD30,67.25,161190.52,0.4086077765377222,0.325430839298988,0.3446892114325467,0.45271122545695097,2023-04-19 15:11:48.883795
GD30,67.25,95273.32,0.44983008913292766,0.5653633898741595,0.5763476412026425,0.4690861778214023,2023-04-19 15:11:58.964878
GD30,67.25,20793.35,0.3504585233416557,0.366625382472463,0.46049779878613584,0.4442100655413189,2023-04-19 15:12:08.967490
GD30,67.25,500000.0,0.3421652333143127,0.29208397985265255,0.4024598468855034,0.43591252335767827,2023-04-19 15:12:19.156179
GD30,67.25,160569.15,0.3172898763826487,0.34186591021320045,0.36112338397215893,0.4110244122711143,2023-04-19 15:12:29.172988
GD30,67.26,50028000.0,0.3998662601766051,0.2920166100605809,0.3443819383410768,0.41911334667030953,2023-04-19 15:12:39.189405
GD30,67.24,66550.56,0.35013592992957143,0.3663894920447569,0.4187761262906503,0.4438124265479315,2023-04-19 15:12:49.190985
GD30,67.23,859228.0,0.3831103527648161,0.1596038022342372,0.2532200709255311,0.46022981095860727,2023-04-19 15:12:59.224492
GD30,67.23,252074.0,0.39951746115565956,0.2421879678771005,0.30276906868538567,0.41875740794630856,2023-04-19 15:13:09.240795
GD30,67.23,29817.0,0.32501136441662415,0.24225520666961098,0.2614898215961703,0.3442438469925996,2023-04-19 15:13:19.250171
GD30,67.22,3039.05,0.24225520666961098,0.2421879678771005,0.26142033105391205,0.26147823721883345,2023-04-19 15:13:29.253559
GD30,67.22,459887.18,0.23399753585140903,0.1595590169059563,0.2531528280985773,0.2532200709255311,2023-04-19 15:13:39.272027
GD30,67.22,20509.56,0.3580929125870713,0.16770891450320402,0.2529960700314693,0.4186451334757846,2023-04-19 15:13:49.273301
GD30,67.22,1191095.68,0.27533671557743056,0.25029298652926524,0.2695213432089988,0.3358615323111669,2023-04-19 15:13:59.440734
GD30,67.22,17141.58,0.27526048402369385,0.159409907821374,0.2529289487295233,0.4348608709359286,2023-04-19 15:14:09.484513
GD30,67.22,41555.92,0.18433985519340723,0.2665727546950142,0.28579610456897386,0.3603674725089201,2023-04-19 15:14:19.692432
GD30,67.22,1460000.0,0.2915324466335667,0.2830735270945678,0.3022989855803315,0.4180100619683441,2023-04-19 15:14:30.705506
GD30,67.22,20000.24,0.41530453775865006,0.5139122830712584,0.5331620216001842,0.4345308578969037,2023-04-19 15:14:40.776080
GD30,67.25,474998190.66,0.4068861745906055,0.28283908311114103,0.41765601866840363,0.4343563503959291,2023-04-19 15:14:50.784530
GD30,67.25,200000000.0,0.25848389620024004,0.3652312451127804,0.3844590047417046,0.4674307232670649,2023-04-19 15:15:00.856439
GD30,67.25,162510.0,0.25848389620024004,0.3488033926669376,0.3680305430325531,0.4674307232670649,2023-04-19 15:15:10.860205
GD30,67.25,182555.31,0.24196410194045448,0.24160675702506573,0.29381939792430756,0.45089204201211097,2023-04-19 15:15:20.879583
GD30,67.25,26363.0,0.3490114433529862,0.24158445723491795,0.26904468238929446,0.4259376212773841,2023-04-19 15:15:30.931326
GD30,67.25,187303884.77,0.43148961021740373,0.3487873988828921,0.3680141748401794,0.45895604573670645,2023-04-19 15:15:40.937010
GD30,67.25,50000000.0,0.23370532469536576,0.43145013201091764,0.4672220146553324,0.5086085380854644,2023-04-19 15:15:50.957622
GD30,67.22,281264.56,0.3659354040764512,0.4315488409052398,0.4507914101021704,0.41817797906018694,2023-04-19 15:16:00.968782
GD30,67.22,42000.0,0.21719000946874345,0.2746394721193396,0.293858451330522,0.2858847776747303,2023-04-19 15:16:10.985562
GD30,67.22,42000.0,0.16781854930548012,0.23345696597847188,0.25267198728962825,0.3438302473248417,2023-04-19 15:16:21.000092
GD30,67.22,356590.0,0.15953663335314006,0.26646219617192657,0.29393658988792815,0.31076476873227343,2023-04-19 15:16:31.079497
GD30,67.22,1916.97,0.17603778847608664,0.24998115895686623,0.3104751985688148,0.19524975217864282,2023-04-19 15:16:41.085906
GD30,67.24,149377827.35,0.15950679805932122,0.15938011833163068,0.2528842214151833,0.25296250482948424,2023-04-19 15:16:51.131347
GD30,67.22,3077.06,0.15955155504697394,0.24191937730963786,0.33550306599992696,0.28603691930094655,2023-04-19 15:17:01.132804
GD30,67.22,7505.5,0.1595291735180454,0.24191937730963786,0.3272378201671411,0.26949746922516893,2023-04-19 15:17:11.147877
GD30,67.24,81922.0,0.25853162835467625,0.24191937730963786,0.2611427457145865,0.277748168822039,2023-04-19 15:17:21.431971
GD30,67.24,791518.0,0.1595291735180454,0.24191937730963786,0.269402016446062,0.26949746922516893,2023-04-19 15:17:31.522471
GD30,67.22,64349.0,0.275349424861584,0.1595291735180454,0.2531080198225283,0.3441365203868202,2023-04-19 15:17:41.578637
GD30,67.22,130807.05,0.1596038022342372,0.2419417376038735,0.3190016668062273,0.17881813851361894,2023-04-19 15:17:51.630402
GD30,67.22,60500.0,0.1843999612013375,0.2584600365948714,0.27768663818096395,0.2779206026958092,2023-04-19 15:18:01.633875
GD30,67.22,3088.01,0.24215436216644182,0.23377019886266337,0.2529960700314693,0.26137402497966145,2023-04-19 15:18:11.662815
GD30,67.24,4448785.65,0.4241767009162495,0.382582933042635,0.41838339679169945,0.4434155076866525,2023-04-19 15:18:21.872106
GD30,67.22,1095396.78,0.34155138961002085,0.3000174328471511,0.335801733858595,0.43515248078927204,2023-04-19 15:18:31.879065
GD30,67.22,79912.68,0.34155138961002085,0.30828817836485833,0.335801733858595,0.43515248078927204,2023-04-19 15:18:41.896495
GD30,67.22,138126.01,0.26760898579716585,0.15967849848767257,0.2533322234781754,0.46064223079160693,2023-04-19 15:18:51.899968
GD30,67.22,420028.14,0.25932170870519855,0.1597682232701897,0.2534669406489293,0.4440708098560775,2023-04-19 15:19:01.903552
GD30,67.22,1652940.0,0.4330944948993404,0.17621028222360724,0.2533322234781754,0.4523462009453033,2023-04-19 15:19:11.904536
GD30,67.22,29378.42,0.4330944948993404,0.17621028222360724,0.2533322234781754,0.4523462009453033,2023-04-19 15:19:21.907474
GD30,67.22,233235.0,0.2427494089492671,0.1597682232701897,0.19554191150769673,0.4274817573705636,2023-04-19 15:19:31.909519
GD30,67.24,67038.68,0.23446438608086373,0.15982809397349473,0.1790615206753038,0.2537030484165015,2023-04-19 15:19:41.923652
GD30,67.24,80000.0,0.06895863264217095,0.11027913029108882,0.13778534951702393,0.12126755249467602,2023-04-19 15:19:51.931720
GD30,67.24,346600.0,0.15999296233239924,0.1930505377474684,0.22057673000186406,0.18750067156349026,2023-04-19 15:20:01.962619
GD30,67.24,400.0,0.1519122173677473,0.15173382244657807,0.17097539958905228,0.17115569134250164,2023-04-19 15:20:12.131598
GD30,67.24,988436.83,0.16020327103173582,0.20967234122121592,0.22892077328924176,0.17944761851864444,2023-04-19 15:20:22.204264
GD30,67.24,1402489.0,0.2928270664570265,0.23454055728847178,0.2537931125341636,0.31208162853194277,2023-04-19 15:20:32.238826
GD30,67.24,1650683.89,0.4423440566958964,0.23454055728847178,0.2537931125341636,0.461614368208102,2023-04-19 15:20:42.442903
GD30,67.24,9817660.82,0.23485663960894743,0.25111662228822107,0.27866208556043104,0.3286989833207121,2023-04-19 15:20:52.557124
GD30,67.24,60067.96,0.16027098383768368,0.1601280994396348,0.17937657387833206,0.24582105993751158,2023-04-19 15:21:02.598361
GD30,67.24,278264.46,0.22666421997127983,0.2430423654857261,0.26230334158178326,0.3205399582448004,2023-04-19 15:21:12.661328
GD30,67.24,815420.02,0.16033121948088258,0.16841614009937056,0.2540072769725821,0.22932679825841518,2023-04-19 15:21:22.816251
GD30,67.24,118000.0,0.15198368875202373,0.2430423654857261,0.26230334158178326,0.17123092889261893,2023-04-19 15:21:32.816667
GD30,67.24,184817.0,0.1602258358188674,0.25133793234599244,0.2706001594200841,0.18775684776874468,2023-04-19 15:21:43.086599
GD30,67.24,3121.1,0.10220612905854853,0.1601280994396348,0.17937657387833206,0.1711481713438756,2023-04-19 15:21:53.237319
GD30,67.22,542306.5,0.16018823125424075,0.1270074959764994,0.17111809817464352,0.17943182580474837,2023-04-19 15:22:03.240119
GD30,67.24,180000.0,0.21846509835868277,0.11052087578351244,0.17123845640609925,0.23772310750005188,2023-04-19 15:22:13.272018
GD30,67.22,22042292.0,0.052541416906189964,0.0690768830288041,0.17123845640609925,0.09664907848863369,2023-04-19 15:22:23.274278
GD30,67.21,500000.0,0.16038396159492763,0.16857408647109995,0.22102620196522593,0.2045176796892395,2023-04-19 15:22:33.293653
GD30,67.21,185446.84,0.1935557374891378,0.17687041556944894,0.21272635975755239,0.2128111212543654,2023-04-19 15:22:43.417013
GD30,67.22,5939275.85,0.18528879965724054,0.1935557374891378,0.21282054347837476,0.22113396283051256,2023-04-19 15:22:53.749534
GD30,67.21,25310808.66,0.2433812526903062,0.16857408647109995,0.19612893718772617,0.26264188792382015,2023-04-19 15:23:03.753763
GD30,67.21,554211.76,0.21846509835868277,0.1851674982971041,0.254233112678906,0.23772310750005188,2023-04-19 15:23:13.760614
GD30,67.21,267240.85,0.1522056631405666,0.07743945062997304,0.17138915038275637,0.17146460016366327,2023-04-19 15:23:23.780250
GD30,67.21,3645918.04,0.243607691426021,0.23518449858419832,0.25445935918236573,0.2628758886570326,2023-04-19 15:23:33.793086
GD30,67.21,471364.88,0.3018248330926071,0.17695326968313385,0.19621557046581917,0.39585224177034306,2023-04-19 15:23:43.810521
GD30,67.21,115111.0,0.2187708463442578,0.23529398378342836,0.25457263683342,0.3044873746196214,2023-04-19 15:23:53.850068
GD30,67.21,780353.0,-0.13810175296498972,-0.08835163226411369,-0.06083629041698291,-0.05255263978394625,2023-04-19 15:24:03.857565
GD30,67.21,500000.0,0.16055749360726512,0.1605046410888561,0.20469874272711686,0.22133016797147465,2023-04-19 15:24:13.864146
GD30,67.21,10000.0,0.1605499411868444,0.08577649245619268,0.17146460016366327,0.2130186081931018,2023-04-19 15:24:23.873645
GD30,67.21,3148.94,0.18551448362936596,0.17711920399959946,0.19638907343424938,0.2712154107711118,2023-04-19 15:24:33.879498
GD30,67.21,17255000.0,0.18551448362936596,0.1605046410888561,0.18808015997810512,0.2712154107711118,2023-04-19 15:24:43.942036
GD30,67.21,61831.0,0.25203931934645096,0.19373678966357166,0.279519796041266,0.33777145443657397,2023-04-19 15:24:53.952165
GD30,67.22,587829.46,0.32693769611667645,0.243607691426021,0.2628875998725688,0.41270496732771056,2023-04-19 15:25:03.956631
GD30,67.21,35815.29,0.3684211679321392,0.3930572570074048,0.4123529327574893,0.38770290282275854,2023-04-19 15:25:13.997901
GD30,67.21,3160.13,0.2436190241804287,0.3431455703184644,0.40403116965775754,0.2628875998725688,2023-04-19 15:25:24.003824
GD30,67.21,208045.0,0.25192215558231645,0.2599957977628037,0.42063767330490165,0.4123529327574893,2023-04-19 15:25:34.158927
GD30,67.21,16191.95,0.2602373763556082,0.2599957977628037,0.42063767330490165,0.42067545313847265,2023-04-19 15:25:44.177233
GD30,67.21,89489.47,0.25192215558231645,0.2599957977628037,0.42063767330490165,0.4123529327574893,2023-04-19 15:25:54.246152
GD30,67.21,5362.0,0.30183881906344523,0.2599957977628037,0.42063767330490165,0.32111353347892224,2023-04-19 15:26:04.254554
GD30,67.21,125228.85,0.45211336019606196,0.3017549223293542,0.4625698512299664,0.47141110239520334,2023-04-19 15:26:14.272185
GD30,67.21,3171.36,0.31890803997445927,0.2937100588056091,0.32132916297158864,0.4130576115927309,2023-04-19 15:26:24.664088
GD30,67.21,182596.57,0.2523679460563838,0.2937100588056091,0.32132916297158864,0.32987750353833056,2023-04-19 15:26:34.758261
GD30,67.23,20941000.0,0.18568845038392234,0.36830204396871735,0.47088066521365546,0.26314551650006124,2023-04-19 15:26:44.789533
GD30,67.21,5362.0,0.1608601548869637,0.34360601546841174,0.3629051890916063,0.31321343048511086,2023-04-19 15:26:54.792499
GD30,67.23,1497340.33,0.25255610960588815,0.40191604927748925,0.42122403442962086,0.4632995350118757,2023-04-19 15:27:04.835998
GD30,67.21,65900.0,0.2525325741448359,0.40191604927748925,0.42122403442962086,0.4466111326280492,2023-04-19 15:27:14.870117
GD30,67.21,1082.49,0.2525325741448359,0.4520090784554087,0.4713261512086786,0.4466111326280492,2023-04-19 15:27:24.943931
GD30,67.21,135701.0,0.1610650758106913,0.5521541777821898,0.5631376365341711,0.26362756102506824,2023-04-19 15:27:35.478902
GD30,67.23,3188.28,0.2776430713914979,0.34389242126635355,0.4549344543356554,0.321920056260252,2023-04-19 15:27:45.541250
GD30,67.24,76087.36,0.2859833699573944,0.26072185496666456,0.33002542311402483,0.3802296510834058,2023-04-19 15:27:55.547762
GD30,67.25,194900000.0,0.37777691529474744,0.4436911876130445,0.463007382117937,0.4720705260907737,2023-04-19 15:28:05.569899
GD30,67.24,1011185.71,0.3192188083191372,0.4104575396908061,0.4381102345820681,0.33851427023233793,2023-04-19 15:28:15.582159
GD30,67.24,94429.77,0.25245023383097753,0.4852806418249872,0.5129431275273971,0.47143234503314424,2023-04-19 15:28:25.920609
GD30,67.24,6392086.59,0.410419624243466,0.418351164964747,0.5126656962497167,0.42971296859792063,2023-04-19 15:28:35.961845
GD30,67.24,407464.0,0.25237969823797834,0.41005977195961607,0.49603649578663256,0.2716635599123962,2023-04-19 15:28:45.992369
GD30,67.24,609.18,0.25237969823797834,0.3935837675568654,0.42122403442962086,0.2799819498432282,2023-04-19 15:28:56.071075
GD30,67.24,3205.29,0.25237969823797834,0.3935837675568654,0.42122403442962086,0.3382106793589307,2023-04-19 15:29:06.111122
GD30,67.24,300000.0,0.25245023383097753,0.4102490902382938,0.4295583347774573,0.3882256909425985,2023-04-19 15:29:16.144236
GD30,67.24,38106.18,0.25245023383097753,0.4686448601402182,0.49630483095684075,0.3882256909425985,2023-04-19 15:29:26.160453
GD30,67.24,31299.0,0.25245023383097753,0.410419624243466,0.43807079295999474,0.3882256909425985,2023-04-19 15:29:36.183730
GD30,67.24,5366.0,0.25245023383097753,0.31878980845309046,0.40475779880546514,0.3882256909425985,2023-04-19 15:29:46.206054
GD30,67.24,96000.0,0.2523679460563838,0.24385725046621343,0.2714695803330619,0.32987750353833056,2023-04-19 15:29:56.218232
GD30,67.24,500000.0,0.402083157372084,0.567962954097278,0.5789473614043128,0.4213756223982196,2023-04-19 15:30:06.304359
GD30,67.25,5350910.66,0.38544813389257526,0.5679368412616081,0.5789212470018157,0.4213756223982196,2023-04-19 15:30:16.313605
GD30,67.24,2000.0,0.31890803997445927,0.3266352278600826,0.5041239211484522,0.39642158998187516,2023-04-19 15:30:26.316683
GD30,67.21,120312.69,0.2520041590191635,0.26005615121973913,0.3791214141870414,0.27127588326538,2023-04-19 15:30:36.381245
GD30,67.21,813000.0,0.16058015499195943,0.2601165321250237,0.3292871711214168,0.1881466222448841,2023-04-19 15:30:46.584296
GD30,67.211,72900.0,0.2521331271830113,0.3349534696012346,0.362563648742808,0.4126864240061351,2023-04-19 15:30:56.690108
GD30,67.211,4482.0,0.243607691426021,0.2601165321250237,0.3292871711214168,0.2628758886570326,2023-04-19 15:31:06.748725
GD30,67.23,900000.0,0.2519104450694515,0.2599957977628037,0.3707184598945462,0.3376051550691406,2023-04-19 15:31:16.781771
GD30,67.205,335087.0,0.25184020436273713,0.2599957977628037,0.2792706305060533,0.28770860131083154,2023-04-19 15:31:26.827282
GD30,67.231,50445.21,0.3517547711359631,0.4096627642941847,0.42896019196697444,0.44580786217601975,2023-04-19 15:31:37.037757
GD30,67.25,32470131.27,0.3267863931517412,0.4096627642941847,0.42896019196697444,0.42082664125718094,2023-04-19 15:31:47.061312
GD30,67.24,6469470.0,0.4017119920560741,0.401341502169435,0.42063767330490165,0.4957907794918581,2023-04-19 15:31:57.197770
GD30,67.24,45523.94,0.37672996983897866,0.401341502169435,0.42063767330490165,0.4707959073219836,2023-04-19 15:32:07.275490
GD30,67.24,23552.34,0.25209794123622453,0.3100153670571759,0.32930190324560904,0.27137269652382723,2023-04-19 15:32:17.284503
GD30,67.24,393233.0,0.2440504343165889,0.4515716136804554,0.47088066521365546,0.32987750353833056,2023-04-19 15:32:27.723918
GD30,67.25,165593773.92,0.30224496673563417,0.41004084961493714,0.42934589724482386,0.40470320972695706,2023-04-19 15:32:37.822457
GD30,67.24,99706.17,0.36054564478278595,0.3269528339924682,0.4962600880444551,0.4547090895305511,2023-04-19 15:32:47.825413
GD30,67.25,104957671.31,0.4690125122054778,0.427055405928235,0.4547090895305511,0.4966406630159792,2023-04-19 15:32:58.013025
GD30,67.25,195353310.0,0.31920399632488883,0.4520925000448589,0.47141110239520334,0.4966854753494482,2023-04-19 15:33:08.146848
GD30,67.24,56209.0,0.31920399632488883,0.4520925000448589,0.47141110239520334,0.4966854753494482,2023-04-19 15:33:18.212699
GD30,67.24,3256.91,0.31920399632488883,0.43537329677063974,0.4963943412602634,0.4966854753494482,2023-04-19 15:33:28.256408
GD30,67.25,1346494.91,0.31920399632488883,0.43537329677063974,0.4963943412602634,0.4966854753494482,2023-04-19 15:33:38.272397
GD30,67.24,4153788.04,0.31920399632488883,0.476962750982623,0.4962824584809439,0.4966854753494482,2023-04-19 15:33:48.313606
GD30,67.231,77278.55,0.2941876848858693,0.4520090784554087,0.4713261512086786,0.47164487799376154,2023-04-19 15:33:58.540239
GD30,67.24,2900000.0,0.31920399632488883,0.4520090784554087,0.4713261512086786,0.4966854753494482,2023-04-19 15:34:08.556903
GD30,67.231,3268.5,0.2526031934118389,0.4603694345988668,0.47968815044374835,0.33017347764668914,2023-04-19 15:34:18.563595
GD30,67.231,5826.49,0.2859035948683436,0.4354536848477242,0.45477053024275405,0.33017347764668914,2023-04-19 15:34:28.618103
GD30,67.231,234034.49,0.3859476476720247,0.40228758686723043,0.4216032117311658,0.4052497731289406,2023-04-19 15:34:38.625953
