ticker,caucion_a_un_dia_ultimo_trade_tasa,caucion_a_un_dia_ultimo_trade_monto,COLOCAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,COLOCAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,time
AL30,66.48,2450778.06,206661.76,2923917.75,1315485.0,50095.78,2023-04-19 19:11:23.091655
AL30,66.4,50658.11,811681.0,2923917.75,1108213.6,50095.78,2023-04-19 19:11:33.258043
AL30,66.35,250000.0,534698.5,2923917.75,26686.9,50095.78,2023-04-19 19:11:43.361745
AL30,66.4,6699.18,258056.5,471400.0,26686.9,1051878.9,2023-04-19 19:11:53.517003
AL30,65.05,7000000.0,258056.5,659610.0,26686.9,1883500.0,2023-04-19 19:12:03.550044
AL30,65.59,5667960.4,258056.5,522505.35,74127.66,1883500.0,2023-04-19 19:12:13.717725
AL30,65.59,514806.2,258056.5,522505.35,2274473.6,1484763.05,2023-04-19 19:12:23.726109
AL30,65.75,1226625.98,2201433.5,522505.35,2220665.6,845503.15,2023-04-19 19:12:33.888518
AL30,65.751,345291.0,2201433.5,560881.75,1821070.4,249496.065,2023-04-19 19:12:43.914634
AL30,65.75,10118405.0,2201433.5,522505.35,1716852.8,249496.065,2023-04-19 19:12:53.915345
AL30,65.051,10732487.5,5941.53,560881.75,2181867.2,602097.75,2023-04-19 19:13:04.125209
AL30,65.051,2946258.65,5941.53,94275.0,471950.0,287213.04,2023-04-19 19:13:14.195022
AL30,65.9,1959369.35,2236610.16,94275.0,318943.81,287213.04,2023-04-19 19:13:24.618763
AL30,65.0,236521.49,1587311.28,94275.0,2146750.4,696551.77,2023-04-19 19:13:35.603894
AL30,63.0,1235026.0,1790.845,85601.7,1979545.6,1884200.0,2023-04-19 19:13:45.825139
AL30,65.5,8801.0,1790.845,85601.7,2118826.7,1884200.0,2023-04-19 19:13:56.306739
AL30,66.35,36458584.81,1790.845,85601.7,2577784.8,1444804.56,2023-04-19 19:14:06.430012
AL30,65.0,2933324.38,1790.845,85601.7,2282531.5,647411.12,2023-04-19 19:14:17.013467
AL30,65.0,125000.0,159984.675,943000.0,2173332.1,159984.675,2023-04-19 19:14:27.060110
AL30,65.0,195167.86,258056.5,471400.0,3231789.75,647582.92,2023-04-19 19:14:37.062041
AL30,65.0,38287.32,258056.5,471400.0,1360981.86,999968.76,2023-04-19 19:14:47.237202
AL30,65.0,745417.0,258056.5,230420.32,559045.41,989603.46,2023-04-19 19:14:57.402873
AL30,65.0,140486.71,258056.5,477956.01,2343355.0,496335.745,2023-04-19 19:15:07.561366
AL30,65.0,4300000.0,1884700.0,2357782.9,2597304.9,88392.43,2023-04-19 19:15:18.027411
AL30,63.0,245107.0,1884700.0,987216.3,2696602.8,88392.43,2023-04-19 19:15:28.215197
AL30,65.0,333628.53,250893.5,987216.3,2103798.4,1302491.04,2023-04-19 19:15:38.291643
AL30,65.0,112272.0,3652239.0,471750.0,1179875.0,1302491.04,2023-04-19 19:15:48.295424
AL30,64.5,3047621.91,471525.0,716229.28,716608.88,1884900.0,2023-04-19 19:15:58.463613
AL30,64.5,2591227.08,471525.0,2171085.0,518389.88,1884900.0,2023-04-19 19:16:08.918710
AL30,65.0,905861.02,1696.41,875814.75,853415.0,1412469.12,2023-04-19 19:16:19.165094
AL30,65.5,190187.59,250893.5,944000.0,1758600.7,536979.52,2023-04-19 19:16:29.292519
AL30,65.7,1374244.24,250893.5,94370.0,1637802.4,138250.08,2023-04-19 19:16:39.374976
AL30,66.5,27606000.0,250893.5,94370.0,1747661.9,1008166.77,2023-04-19 19:16:49.523786
AL30,66.85,108275.0,250893.5,94370.0,1160644.4,471200.0,2023-04-19 19:16:59.529037
AL30,66.85,168346446.79,250893.5,73506.44,1757752.0,286772.32,2023-04-19 19:17:09.529263
AL30,66.85,217000.0,250893.5,471700.0,1418272.0,286772.32,2023-04-19 19:17:19.690447
AL30,66.95,165130.0,11120.91,471700.0,2985726.6,1205521.45,2023-04-19 19:17:30.088209
AL30,66.85,5541.0,11120.91,943200.0,2179273.0,399452.69,2023-04-19 19:17:40.203732
AL30,66.85,184151644.31,11120.91,121068.36,2179273.0,486603.72,2023-04-19 19:17:50.284017
