ticker,caucion_a_un_dia_ultimo_trade_tasa,caucion_a_un_dia_ultimo_trade_monto,COLOCAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,COLOCAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_CERCANO_VOLUMEN,TOMAR_TASA_ABRIENDO_PLAZO_LEJANO_VOLUMEN,time
AL30D,67.21,135701.0,451.0872,886.4740500000001,886.54995,451.0485,2023-04-19 15:27:35.478902
AL30D,67.23,3188.28,2113.2846,886.4740500000001,886.54995,2410.38369,2023-04-19 15:27:45.541250
AL30D,67.24,76087.36,2113.2846,29.89824,29.9008,3496.8,2023-04-19 15:27:55.547762
AL30D,67.25,194900000.0,301.21612,411.5457,93.48,301.56469,2023-04-19 15:28:05.569899
AL30D,67.24,1011185.71,2113.2846,29.91232,93.48,1295.0371499999999,2023-04-19 15:28:15.582159
AL30D,67.24,94429.77,2113.2846,29.91232,93.48,5828.5,2023-04-19 15:28:25.920609
AL30D,67.24,6392086.59,2113.2846,29.91232,93.48,840.9552600000002,2023-04-19 15:28:35.961845
AL30D,67.24,407464.0,214.70352000000003,318.05208999999996,53.751000000000005,214.78641,2023-04-19 15:28:45.992369
AL30D,67.24,609.18,72.50032,288.13977,288.16443,72.52831,2023-04-19 15:28:56.071075
AL30D,67.24,3205.29,402.83135999999996,0.23370000000000002,0.23372,402.98688000000004,2023-04-19 15:29:06.111122
AL30D,67.24,300000.0,14519.962239999999,411.5457,411.58092,14531.1712,2023-04-19 15:29:16.144236
AL30D,67.24,38106.18,9055.93125,411.5457,274.621,4667.2,2023-04-19 15:29:26.160453
AL30D,67.24,31299.0,13507.771270000001,2893.7426,577.486,12019.07,2023-04-19 15:29:36.183730
AL30D,67.24,5366.0,23705.59092,149.79529,149.80811,11533.5571,2023-04-19 15:29:46.206054
AL30D,67.24,96000.0,7153.69109,5027.6066599999995,149.80811,4989.936879999999,2023-04-19 15:29:56.218232
AL30D,67.24,500000.0,841.40226,149.78887999999998,20468.029,842.16015,2023-04-19 15:30:06.304359
AL30D,67.25,5350910.66,6672.108520000001,2589.1012,577.486,6676.1079,2023-04-19 15:30:16.313605
AL30D,67.24,2000.0,5837.5,2589.1012,577.486,5263.3914,2023-04-19 15:30:26.316683
AL30D,67.21,120312.69,9395.97538,25857.0,25859.21,3403.6068,2023-04-19 15:30:36.381245
AL30D,67.21,813000.0,7201.05624,25857.0,25859.21,7202.59809,2023-04-19 15:30:46.584296
AL30D,67.211,72900.0,2037.3408000000002,148.81128,148.82399999999998,2037.1663999999998,2023-04-19 15:30:56.690108
AL30D,67.211,4482.0,39999.952520000006,1602.215,1602.3519999999999,54903.05,2023-04-19 15:31:06.748725
AL30D,67.23,900000.0,5838.0,1338.6097,1338.72416,53629.7665,2023-04-19 15:31:16.781771
AL30D,67.205,335087.0,39999.87426,7.250900000000001,7.251519999999999,1704.1701600000001,2023-04-19 15:31:26.827282
AL30D,67.231,50445.21,5840.0,377.587,377.6193,258.18325,2023-04-19 15:31:37.037757
AL30D,67.25,32470131.27,5840.0,377.587,377.6193,47836.44339,2023-04-19 15:31:47.061312
AL30D,67.24,6469470.0,5840.0,377.587,377.6193,44594.827139999994,2023-04-19 15:31:57.197770
AL30D,67.24,45523.94,5840.0,377.587,377.6193,42940.493109999996,2023-04-19 15:32:07.275490
AL30D,67.24,23552.34,14489.5072,432.715,432.75199999999995,1223.6532,2023-04-19 15:32:17.284503
AL30D,67.24,393233.0,133.18619999999999,479.89298,479.93399999999997,133.2147,2023-04-19 15:32:27.723918
AL30D,67.25,165593773.92,10147.58709,449.94354,449.98199999999997,11687.5,2023-04-19 15:32:37.822457
AL30D,67.24,99706.17,5842.5,350.865,350.895,10520.85375,2023-04-19 15:32:47.825413
AL30D,67.25,104957671.31,5842.5,350.865,350.895,10203.88875,2023-04-19 15:32:58.013025
AL30D,67.25,195353310.0,5842.5,350.835,350.865,8429.4925,2023-04-19 15:33:08.146848
AL30D,67.24,56209.0,9121.61609,7064.608500000001,7060.077000000001,7902.38625,2023-04-19 15:33:18.212699
AL30D,67.24,3256.91,8999.9072,1299.2034,7060.077000000001,5526.785,2023-04-19 15:33:28.256408
AL30D,67.25,1346494.91,8999.9072,7235.86226,170.77622,1717.57424,2023-04-19 15:33:38.272397
AL30D,67.24,4153788.04,3410.6470600000002,2634.1536800000003,1501.7736400000001,3410.35494,2023-04-19 15:33:48.313606
AL30D,67.231,77278.55,1381.67867,1084.08791,1083.85596,1381.56033,2023-04-19 15:33:58.540239
AL30D,67.24,2900000.0,1389.3355999999999,23367.0,11675.5,1389.9316000000001,2023-04-19 15:34:08.556903
AL30D,67.231,3268.5,0.23301,4711.222479999999,12777.6672,2330.3669400000003,2023-04-19 15:34:18.563595
AL30D,67.231,5826.49,0.23302,1297.59245,12914.97108,0.23321999999999998,2023-04-19 15:34:28.618103
AL30D,67.231,234034.49,4656.6,4667.6328,4668.0327,4658.400000000001,2023-04-19 15:34:38.625953
AL30D,67.231,707592.88,387.79515,4668.6,4669.0,387.945,2023-04-19 15:34:48.759797
AL30D,67.231,24035.01,2.3280000000000003,4580.0353000000005,4580.4282,732.76632,2023-04-19 15:34:58.779020
AL30D,67.231,1560.8,0.93148,310.62878,330.15456,0.932,2023-04-19 15:35:08.809348
AL30D,67.231,6486.83,15557.391199999998,1100.5151999999998,1099.4296,14980.2822,2023-04-19 15:35:18.865365
